Disciplina,1896-Athens,1900-Paris,1904-St_Louis,1908-London,1912-Stockholm,1920-Antwerp,1924-Chamonix,1924-Paris,1928-Amsterdam,1928-St_Moritz,1932-Lake_Placid,1932-Los_Angeles,1936-Berlin,1936-Garmisch_Partenkirchen,1948-London,1948-St_Moritz,1952-Helsinki,1952-Oslo,1956-Cortina_D_Ampezzo,1956-Melbourne,1960-Rome,1960-Squaw_Valley,1964-Innsbruck,1964-Tokyo,1968-Grenoble,1968-Mexico_City,1972-Munich,1972-Sapporo,1976-Innsbruck,1976-Montreal,1980-Lake_Placid,1980-Moscow,1984-Los_Angeles,1984-Sarajevo,1988-Calgary,1988-Seoul,1992-Albertville,1992-Barcelona,1994-Lillehammer,1996-Atlanta,1998-Nagano,2000-Sydney,2002-Salt_Lake_City,2004-Athens,2006-Turin,2008-Beijing,2010-Vancouver,2012-London,2014-Sochi,2016-Rio,2018-Pyeongchang,2020-Tokyo,2022-Beijing,2024-Paris
3x3 Basketball,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X
Alpine Skiing,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,X,X,-,-,X,X,-,X,-,-,X,X,-,X,-,-,X,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-
Archery,-,X,X,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,X,X,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X
Artistic Gymnastics,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X
Artistic Swimming,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X
Athletics,X,X,X,X,X,X,-,X,X,-,-,X,X,-,X,-,X,-,-,X,X,-,-,X,-,X,X,-,-,X,-,X,X,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X
Badminton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X
Baseball,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,X,-,X,-,X,-,-,-,-,-,-,-,-
Baseball/Softball,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-
Basketball,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,X,-,-,X,X,-,-,X,-,X,X,-,-,X,-,X,X,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X
Basque Pelota,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beach Volleyball,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X
Biathlon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,X,-,-,X,X,-,X,-,-,X,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-
Bobsleigh,-,-,-,-,-,-,X,-,-,X,X,-,-,X,-,X,-,X,X,-,-,-,X,-,X,-,-,X,X,-,X,-,-,X,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-
Boxing,-,-,X,X,-,X,-,X,X,-,-,X,X,-,X,-,X,-,-,X,X,-,-,X,-,X,X,-,-,X,-,X,X,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X
Breaking,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X
Canoe Marathon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Canoe Slalom,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X
Canoe Sprint,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,X,-,-,X,X,-,-,X,-,X,X,-,-,X,-,X,X,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X
Cricket,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Croquet,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cross Country Skiing,-,-,-,-,-,-,X,-,-,X,X,-,-,X,-,X,-,X,X,-,-,X,X,-,X,-,-,X,X,-,X,-,-,X,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-
Curling,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-
Cycling BMX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,X,-,-,-,-
Cycling BMX Freestyle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X
Cycling BMX Racing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X
Cycling Mountain Bike,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X
Cycling Road,X,-,-,-,X,X,-,X,X,-,-,X,X,-,X,-,X,-,-,X,X,-,-,X,-,X,X,-,-,X,-,X,X,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X
Cycling Track,X,X,X,X,-,X,-,X,X,-,-,X,X,-,X,-,X,-,-,X,X,-,-,X,-,X,X,-,-,X,-,X,X,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X
Diving,-,-,X,X,X,X,-,X,X,-,-,X,X,-,X,-,X,-,-,X,X,-,-,X,-,X,X,-,-,X,-,X,X,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X
Equestrian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X
Equestrian  Vaulting,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Equestrian Dressage,-,-,-,-,X,X,-,X,X,-,-,X,X,-,X,-,X,-,-,-,X,-,-,X,-,X,X,-,-,X,-,X,X,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,-,-
Equestrian Eventing,-,-,-,-,X,X,-,X,X,-,-,X,X,-,X,-,X,-,-,-,X,-,-,X,-,X,X,-,-,X,-,X,X,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,-,-
Equestrian Jumping,-,X,-,-,X,X,-,X,X,-,-,X,X,-,X,-,X,-,-,-,X,-,-,X,-,X,X,-,-,X,-,X,X,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,-,-
Fencing,X,X,X,X,X,X,-,X,X,-,-,X,X,-,X,-,X,-,-,X,X,-,-,X,-,X,X,-,-,X,-,X,X,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X
Figure skating,-,-,-,X,-,X,X,-,-,X,X,-,-,X,-,X,-,X,X,-,-,X,X,-,X,-,-,X,X,-,X,-,-,X,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-
Football,-,X,X,X,X,X,-,X,X,-,-,-,X,-,X,-,X,-,-,X,X,-,-,X,-,X,X,-,-,X,-,X,X,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X
Freestyle Skiing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-
Golf,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,X
Gymnastics Artistic,-,X,-,X,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,X,X,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,-,-
Gymnastics Rhythmic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,-,-
Handball,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,X,X,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X
Hockey,-,-,-,X,-,X,-,-,X,-,-,X,X,-,X,-,X,-,-,X,X,-,-,X,-,X,X,-,-,X,-,X,X,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X
Ice Hockey,-,-,-,-,-,X,X,-,-,X,X,-,-,X,-,X,-,X,X,-,-,X,X,-,X,-,-,X,X,-,X,-,-,X,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-
Jeu de Paume,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Judo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,-,X,-,X,X,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X
Karate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-
Lacrosse,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Luge,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,-,X,X,-,X,-,-,X,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-
Marathon Swimming,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,X,-,X,-,X
Military Patrol,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Modern Pentathlon,-,-,-,-,X,X,-,X,X,-,-,X,X,-,X,-,X,-,-,X,X,-,-,X,-,X,X,-,-,X,-,X,X,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X
Nordic Combined,-,-,-,-,-,-,X,-,-,X,X,-,-,X,-,X,-,X,X,-,-,X,X,-,X,-,-,X,X,-,X,-,-,X,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-
Polo,-,X,-,X,-,X,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rackets,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rhythmic Gymnastics,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X
Roque,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rowing,-,X,X,X,X,X,-,X,X,-,-,X,X,-,X,-,X,-,-,X,X,-,-,X,-,X,X,-,-,X,-,X,X,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X
Rugby,-,X,-,X,-,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-
Rugby Sevens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X
Sailing,-,X,-,X,X,X,-,X,X,-,-,X,X,-,X,-,X,-,-,X,X,-,-,X,-,X,X,-,-,X,-,X,X,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X
Shooting,X,X,-,X,X,X,-,X,-,-,-,X,X,-,X,-,X,-,-,X,X,-,-,X,-,X,X,-,-,X,-,X,X,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X
Short Track,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-
Short Track Speed Skating,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,-,X,-
Skateboarding,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X
Skeleton,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-
Ski Jumping,-,-,-,-,-,-,X,-,-,X,X,-,-,X,-,X,-,X,X,-,-,X,X,-,X,-,-,X,X,-,X,-,-,X,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-
Snowboard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-
Softball,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,X,-,X,-,-,-,-,-,-,-,-
Speed skating,-,-,-,-,-,-,X,-,-,X,X,-,-,X,-,X,-,X,X,-,-,X,X,-,X,-,-,X,X,-,X,-,-,X,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-
Sport Climbing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X
Surfing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X
Swimming,X,X,X,X,X,X,-,X,X,-,-,X,X,-,X,-,X,-,-,X,X,-,-,X,-,X,X,-,-,X,-,X,X,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X
Synchronized Swimming,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,-,-,-
Table Tennis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X
Taekwondo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X
Tennis,X,X,X,X,X,X,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X
Trampoline,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,X,-,X,-,X,-,-,-,-
Trampoline Gymnastics,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X
Triathlon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X
Tug of War,-,X,X,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Volleyball,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,X,X,-,-,X,-,X,X,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X
Water Motorsports,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Water Polo,-,X,X,X,X,X,-,X,X,-,-,X,X,-,X,-,X,-,-,X,X,-,-,X,-,X,X,-,-,X,-,X,X,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X
Weightlifting,X,-,X,-,-,X,-,X,X,-,-,X,X,-,X,-,X,-,-,X,X,-,-,X,-,X,X,-,-,X,-,X,X,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X
Wrestling,X,-,X,X,X,X,-,X,X,-,-,X,X,-,X,-,X,-,-,X,X,-,-,X,-,X,X,-,-,X,-,X,X,-,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X,-,X
