Zaporedna Å¡tevilka,URL,Mesto,Leto,Vrsta
6,https://www.olympics.com/en/olympic-games/paris-2024,Paris,2024,Summer
7,https://www.olympics.com/en/olympic-games/beijing-2022,Beijing,2022,Winter
8,https://www.olympics.com/en/olympic-games/tokyo-2020,Tokyo,2020,Summer
9,https://www.olympics.com/en/olympic-games/pyeongchang-2018,Pyeongchang,2018,Winter
10,https://www.olympics.com/en/olympic-games/rio-2016,Rio,2016,Summer
11,https://www.olympics.com/en/olympic-games/sochi-2014,Sochi,2014,Winter
12,https://www.olympics.com/en/olympic-games/london-2012,London,2012,Summer
13,https://www.olympics.com/en/olympic-games/vancouver-2010,Vancouver,2010,Winter
14,https://www.olympics.com/en/olympic-games/beijing-2008,Beijing,2008,Summer
15,https://www.olympics.com/en/olympic-games/turin-2006,Turin,2006,Winter
16,https://www.olympics.com/en/olympic-games/athens-2004,Athens,2004,Summer
17,https://www.olympics.com/en/olympic-games/salt-lake-city-2002,Salt Lake City,2002,Winter
18,https://www.olympics.com/en/olympic-games/sydney-2000,Sydney,2000,Summer
19,https://www.olympics.com/en/olympic-games/nagano-1998,Nagano,1998,Winter
20,https://www.olympics.com/en/olympic-games/atlanta-1996,Atlanta,1996,Summer
21,https://www.olympics.com/en/olympic-games/lillehammer-1994,Lillehammer,1994,Winter
22,https://www.olympics.com/en/olympic-games/barcelona-1992,Barcelona,1992,Summer
23,https://www.olympics.com/en/olympic-games/albertville-1992,Albertville,1992,Winter
24,https://www.olympics.com/en/olympic-games/seoul-1988,Seoul,1988,Summer
25,https://www.olympics.com/en/olympic-games/calgary-1988,Calgary,1988,Winter
26,https://www.olympics.com/en/olympic-games/los-angeles-1984,Los Angeles,1984,Summer
27,https://www.olympics.com/en/olympic-games/sarajevo-1984,Sarajevo,1984,Winter
28,https://www.olympics.com/en/olympic-games/moscow-1980,Moscow,1980,Summer
29,https://www.olympics.com/en/olympic-games/lake-placid-1980,Lake Placid,1980,Winter
30,https://www.olympics.com/en/olympic-games/montreal-1976,Montreal,1976,Summer
31,https://www.olympics.com/en/olympic-games/innsbruck-1976,Innsbruck,1976,Winter
32,https://www.olympics.com/en/olympic-games/munich-1972,Munich,1972,Summer
33,https://www.olympics.com/en/olympic-games/sapporo-1972,Sapporo,1972,Winter
34,https://www.olympics.com/en/olympic-games/mexico-city-1968,Mexico City,1968,Summer
35,https://www.olympics.com/en/olympic-games/grenoble-1968,Grenoble,1968,Winter
36,https://www.olympics.com/en/olympic-games/tokyo-1964,Tokyo,1964,Summer
37,https://www.olympics.com/en/olympic-games/innsbruck-1964,Innsbruck,1964,Winter
38,https://www.olympics.com/en/olympic-games/rome-1960,Rome,1960,Summer
39,https://www.olympics.com/en/olympic-games/squaw-valley-1960,Squaw Valley,1960,Winter
40,https://www.olympics.com/en/olympic-games/melbourne-1956,Melbourne,1956,Summer
41,https://www.olympics.com/en/olympic-games/cortina-d-ampezzo-1956,Cortina D Ampezzo,1956,Winter
42,https://www.olympics.com/en/olympic-games/helsinki-1952,Helsinki,1952,Summer
43,https://www.olympics.com/en/olympic-games/oslo-1952,Oslo,1952,Winter
44,https://www.olympics.com/en/olympic-games/london-1948,London,1948,Summer
45,https://www.olympics.com/en/olympic-games/st-moritz-1948,St Moritz,1948,Winter
46,https://www.olympics.com/en/olympic-games/berlin-1936,Berlin,1936,Summer
47,https://www.olympics.com/en/olympic-games/garmisch-partenkirchen-1936,Garmisch Partenkirchen,1936,Winter
48,https://www.olympics.com/en/olympic-games/los-angeles-1932,Los Angeles,1932,Summer
49,https://www.olympics.com/en/olympic-games/lake-placid-1932,Lake Placid,1932,Winter
50,https://www.olympics.com/en/olympic-games/amsterdam-1928,Amsterdam,1928,Summer
51,https://www.olympics.com/en/olympic-games/st-moritz-1928,St Moritz,1928,Winter
52,https://www.olympics.com/en/olympic-games/paris-1924,Paris,1924,Summer
53,https://www.olympics.com/en/olympic-games/chamonix-1924,Chamonix,1924,Winter
54,https://www.olympics.com/en/olympic-games/antwerp-1920,Antwerp,1920,Summer
55,https://www.olympics.com/en/olympic-games/stockholm-1912,Stockholm,1912,Summer
56,https://www.olympics.com/en/olympic-games/london-1908,London,1908,Summer
57,https://www.olympics.com/en/olympic-games/st-louis-1904,St Louis,1904,Summer
58,https://www.olympics.com/en/olympic-games/paris-1900,Paris,1900,Summer
59,https://www.olympics.com/en/olympic-games/athens-1896,Athens,1896,Summer
