Zaporedna Å¡tevilka,URL,Mesto,Leto
1,https://www.olympics.com/en/olympic-games/salt-lake-city-utah-2034,Salt Lake City Utah,2034
2,https://www.olympics.com/en/olympic-games/brisbane-2032,Brisbane,2032
3,https://www.olympics.com/en/olympic-games/french-alps-2030,French Alps,2030
4,https://www.olympics.com/en/olympic-games/los-angeles-2028,Los Angeles,2028
5,https://www.olympics.com/en/olympic-games/milano-cortina-2026,Milano Cortina,2026
6,https://www.olympics.com/en/olympic-games/paris-2024,Paris,2024
7,https://www.olympics.com/en/olympic-games/beijing-2022,Beijing,2022
8,https://www.olympics.com/en/olympic-games/tokyo-2020,Tokyo,2020
9,https://www.olympics.com/en/olympic-games/pyeongchang-2018,Pyeongchang,2018
10,https://www.olympics.com/en/olympic-games/rio-2016,Rio,2016
11,https://www.olympics.com/en/olympic-games/sochi-2014,Sochi,2014
12,https://www.olympics.com/en/olympic-games/london-2012,London,2012
13,https://www.olympics.com/en/olympic-games/vancouver-2010,Vancouver,2010
14,https://www.olympics.com/en/olympic-games/beijing-2008,Beijing,2008
15,https://www.olympics.com/en/olympic-games/turin-2006,Turin,2006
16,https://www.olympics.com/en/olympic-games/athens-2004,Athens,2004
17,https://www.olympics.com/en/olympic-games/salt-lake-city-2002,Salt Lake City,2002
18,https://www.olympics.com/en/olympic-games/sydney-2000,Sydney,2000
19,https://www.olympics.com/en/olympic-games/nagano-1998,Nagano,1998
20,https://www.olympics.com/en/olympic-games/atlanta-1996,Atlanta,1996
21,https://www.olympics.com/en/olympic-games/lillehammer-1994,Lillehammer,1994
22,https://www.olympics.com/en/olympic-games/barcelona-1992,Barcelona,1992
23,https://www.olympics.com/en/olympic-games/albertville-1992,Albertville,1992
24,https://www.olympics.com/en/olympic-games/seoul-1988,Seoul,1988
25,https://www.olympics.com/en/olympic-games/calgary-1988,Calgary,1988
26,https://www.olympics.com/en/olympic-games/los-angeles-1984,Los Angeles,1984
27,https://www.olympics.com/en/olympic-games/sarajevo-1984,Sarajevo,1984
28,https://www.olympics.com/en/olympic-games/moscow-1980,Moscow,1980
29,https://www.olympics.com/en/olympic-games/lake-placid-1980,Lake Placid,1980
30,https://www.olympics.com/en/olympic-games/montreal-1976,Montreal,1976
31,https://www.olympics.com/en/olympic-games/innsbruck-1976,Innsbruck,1976
32,https://www.olympics.com/en/olympic-games/munich-1972,Munich,1972
33,https://www.olympics.com/en/olympic-games/sapporo-1972,Sapporo,1972
34,https://www.olympics.com/en/olympic-games/mexico-city-1968,Mexico City,1968
35,https://www.olympics.com/en/olympic-games/grenoble-1968,Grenoble,1968
36,https://www.olympics.com/en/olympic-games/tokyo-1964,Tokyo,1964
37,https://www.olympics.com/en/olympic-games/innsbruck-1964,Innsbruck,1964
38,https://www.olympics.com/en/olympic-games/rome-1960,Rome,1960
39,https://www.olympics.com/en/olympic-games/squaw-valley-1960,Squaw Valley,1960
40,https://www.olympics.com/en/olympic-games/melbourne-1956,Melbourne,1956
41,https://www.olympics.com/en/olympic-games/cortina-d-ampezzo-1956,Cortina D Ampezzo,1956
42,https://www.olympics.com/en/olympic-games/helsinki-1952,Helsinki,1952
43,https://www.olympics.com/en/olympic-games/oslo-1952,Oslo,1952
44,https://www.olympics.com/en/olympic-games/london-1948,London,1948
45,https://www.olympics.com/en/olympic-games/st-moritz-1948,St Moritz,1948
46,https://www.olympics.com/en/olympic-games/berlin-1936,Berlin,1936
47,https://www.olympics.com/en/olympic-games/garmisch-partenkirchen-1936,Garmisch Partenkirchen,1936
48,https://www.olympics.com/en/olympic-games/los-angeles-1932,Los Angeles,1932
49,https://www.olympics.com/en/olympic-games/lake-placid-1932,Lake Placid,1932
50,https://www.olympics.com/en/olympic-games/amsterdam-1928,Amsterdam,1928
51,https://www.olympics.com/en/olympic-games/st-moritz-1928,St Moritz,1928
52,https://www.olympics.com/en/olympic-games/paris-1924,Paris,1924
53,https://www.olympics.com/en/olympic-games/chamonix-1924,Chamonix,1924
54,https://www.olympics.com/en/olympic-games/antwerp-1920,Antwerp,1920
55,https://www.olympics.com/en/olympic-games/stockholm-1912,Stockholm,1912
56,https://www.olympics.com/en/olympic-games/london-1908,London,1908
57,https://www.olympics.com/en/olympic-games/st-louis-1904,St Louis,1904
58,https://www.olympics.com/en/olympic-games/paris-1900,Paris,1900
59,https://www.olympics.com/en/olympic-games/athens-1896,Athens,1896
