Država,Zlate medalje,Srebrne medalje,Bronaste medalje,Skupaj
Argentina,0,1,1,2
Australia,3,6,5,14
Austria,1,0,0,1
Belgium,0,0,2,2
Brazil,1,2,3,6
Bulgaria,10,12,13,35
Canada,3,2,5,10
Chile,0,1,0,1
Colombia,0,0,1,1
Costa Rica,0,1,0,1
Czechoslovakia,3,3,2,8
Denmark,2,1,1,4
Djibouti,0,0,1,1
Federal Republic of Germany,11,14,15,40
Finland,1,1,2,4
France,6,4,6,16
German Democratic Republic (Germany),37,35,30,102
Great Britain,5,10,9,24
Greece,0,0,1,1
Hungary,11,6,6,23
Indonesia,0,1,0,1
Islamic Republic of Iran,0,1,0,1
Italy,6,4,4,14
Jamaica,0,2,0,2
Japan,4,3,7,14
Kenya,5,2,2,9
Mexico,0,0,2,2
Mongolia,0,0,1,1
Morocco,1,0,2,3
Netherlands,2,2,5,9
Netherlands Antilles,0,1,0,1
New Zealand,3,2,8,13
Norway,2,3,0,5
Pakistan,0,0,1,1
People's Republic of China,5,11,12,28
Peru,0,1,0,1
Philippines,0,0,1,1
Poland,2,5,9,16
Portugal,1,0,0,1
Republic of Korea,12,10,11,33
Romania,7,11,6,24
Senegal,0,1,0,1
Spain,1,1,2,4
Suriname,1,0,0,1
Sweden,0,4,7,11
Switzerland,0,2,2,4
Thailand,0,0,1,1
Türkiye,1,1,0,2
USSR,55,31,46,132
United States of America,36,31,27,94
"Virgin Islands, US",0,1,0,1
Yugoslavia,3,4,5,12
