Država,Zlate medalje,Srebrne medalje,Bronaste medalje,Skupaj
Australia,0,0,1,1
Austria,2,3,4,9
Belarus,0,2,0,2
Canada,3,6,4,13
Finland,0,1,5,6
France,0,1,4,5
Germany,9,7,8,24
Great Britain,0,0,2,2
Italy,7,5,8,20
Japan,1,2,2,5
Kazakhstan,1,2,0,3
Netherlands,0,1,3,4
Norway,10,11,5,26
People's Republic of China,0,1,2,3
Republic of Korea,4,1,1,6
Russian Federation,11,8,4,23
Slovenia,0,0,3,3
Sweden,2,1,0,3
Switzerland,3,4,2,9
Ukraine,1,0,1,2
United States of America,6,5,2,13
Uzbekistan,1,0,0,1
