Država,Zlate medalje,Srebrne medalje,Bronaste medalje,Skupaj
Australia,1,2,2,5
Austria,0,0,1,1
Belgium,1,5,2,8
Canada,3,3,10,16
Czechia,0,0,2,2
Denmark,0,2,3,5
Finland,1,1,3,5
France,5,5,9,19
Germany,3,5,5,13
Great Britain,56,51,39,146
Greece,0,3,1,4
Hungary,3,4,2,9
Italy,2,2,0,4
Netherlands,0,0,2,2
Norway,2,3,3,8
Russian Federation,1,2,0,3
South Africa,1,1,0,2
Sweden,8,6,11,25
United States of America,23,12,12,47
