Država,Zlate medalje,Srebrne medalje,Bronaste medalje,Skupaj
Argentina,3,3,1,7
Australia,1,2,1,4
Austria,3,0,1,4
Belgium,0,1,2,3
Canada,4,4,7,15
Chile,0,1,0,1
Czechoslovakia,2,5,2,9
Denmark,3,2,4,9
Egypt,2,1,1,4
Estonia,2,1,2,5
Finland,8,8,9,25
France,7,12,6,25
Germany,11,9,19,39
Great Britain,4,11,7,22
Haiti,0,1,0,1
Hungary,5,5,0,10
India,1,0,0,1
Ireland,1,0,0,1
Italy,7,6,7,20
Japan,2,2,1,5
Luxembourg,1,0,0,1
Netherlands,8,10,5,23
New Zealand,1,0,0,1
Norway,1,2,1,4
Philippines,0,0,1,1
Poland,2,1,4,7
Portugal,0,0,1,1
South Africa,1,0,2,3
Spain,1,0,0,1
Sweden,7,6,12,25
Switzerland,7,6,4,17
United States of America,22,18,16,56
Uruguay,1,0,0,1
Yugoslavia,1,1,3,5
