Država,Zlate medalje,Srebrne medalje,Bronaste medalje,Skupaj
Argentina,2,2,3,7
Australia,0,0,1,1
Austria,5,7,5,17
Belgium,0,0,3,3
Canada,1,3,5,9
Czechoslovakia,3,5,1,9
Denmark,0,2,3,5
Egypt,2,1,2,5
Estonia,2,2,3,7
Finland,8,6,6,20
France,7,6,6,19
Germany,38,31,32,101
Great Britain,4,7,3,14
Hungary,10,1,5,16
India,1,0,0,1
Italy,9,13,5,27
Japan,6,4,10,20
Latvia,0,1,1,2
Mexico,0,0,3,3
Netherlands,6,4,7,17
New Zealand,1,0,0,1
Norway,1,3,2,6
Philippines,0,0,1,1
Poland,0,4,5,9
Portugal,0,0,1,1
Romania,0,1,0,1
South Africa,0,1,0,1
Sweden,6,5,10,21
Switzerland,4,9,5,18
Türkiye,1,0,1,2
United States of America,24,21,12,57
Yugoslavia,0,1,0,1
