Država,Zlate medalje,Srebrne medalje,Bronaste medalje,Skupaj
Austria,2,2,2,6
Canada,1,1,1,3
Czechoslovakia,0,1,0,1
Federal Republic of Germany,2,5,3,10
Finland,2,4,1,7
France,0,0,1,1
German Democratic Republic (Germany),7,5,7,19
Great Britain,1,0,0,1
Italy,1,2,1,4
Liechtenstein,0,0,2,2
Netherlands,1,2,3,6
Norway,3,3,1,7
Sweden,0,0,2,2
Switzerland,1,3,1,5
USSR,13,6,8,27
United States of America,3,3,4,10
