Država,Zlate medalje,Srebrne medalje,Bronaste medalje,Skupaj
Austria,3,2,2,7
Bulgaria,0,0,1,1
Canada,0,1,1,2
Czechoslovakia,0,0,1,1
Federal Republic of Germany,0,2,3,5
Finland,1,5,3,9
France,0,0,1,1
German Democratic Republic (Germany),9,7,7,23
Great Britain,1,0,0,1
Hungary,0,1,0,1
Italy,0,2,0,2
Japan,0,1,0,1
Liechtenstein,2,2,0,4
Netherlands,1,2,1,4
Norway,1,3,6,10
Sweden,3,0,1,4
Switzerland,1,1,3,5
USSR,10,6,6,22
United States of America,6,4,2,12
