Država,Zlate medalje,Srebrne medalje,Bronaste medalje,Skupaj
Argentina,0,1,0,1
Australia,8,7,2,17
Austria,0,1,2,3
Belgium,0,2,0,2
Brazil,0,0,2,2
Bulgaria,6,10,5,21
Canada,0,2,3,5
Colombia,0,1,2,3
Cuba,3,1,4,8
Czechoslovakia,2,4,2,8
Democratic People's Republic of Korea,1,1,3,5
Denmark,1,0,0,1
Ethiopia,0,0,2,2
Federal Republic of Germany,13,11,16,40
Finland,3,1,4,8
France,2,4,7,13
German Democratic Republic (Germany),20,23,23,66
Ghana,0,0,1,1
Great Britain,4,5,9,18
Greece,0,2,0,2
Hungary,6,13,16,35
India,0,0,1,1
Islamic Republic of Iran,0,2,1,3
Italy,5,3,10,18
Jamaica,0,0,1,1
Japan,13,8,8,29
Kenya,2,3,4,9
Lebanon,0,1,0,1
Mexico,0,1,0,1
Mongolia,0,1,0,1
Netherlands,3,1,1,5
New Zealand,1,1,1,3
Niger,0,0,1,1
Nigeria,0,0,1,1
Norway,2,1,1,4
Pakistan,0,1,0,1
Poland,7,5,9,21
Republic of Korea,0,1,0,1
Romania,3,6,7,16
Spain,0,0,1,1
Sweden,4,6,6,16
Switzerland,0,3,0,3
Tunisia,0,1,0,1
Türkiye,0,1,0,1
USSR,50,27,22,99
Uganda,1,1,0,2
United States of America,33,31,30,94
Yugoslavia,2,1,2,5
